,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor,precipitation1,temperature1,dengue_incidence1,temp_min1,temp_max1,deltemp1,dengue_befor1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มิ.ย.-10,122.7,29.7,320.7434895,24.9,35.94,11.03,1098.4062,114.5,28.6,1129.82619,24.77,33.89,9.12,1098.4062,,,,,,,,0.220943752,1.24599349,12.16,1.039868494,1.213429355,-0.25517124,-0.061007615,,,,,,,,,,,,,,,
ก.ค.-10,114.5,28.6,1129.82619,24.77,33.89,9.12,1098.4062,470.6,27.1,1406.696461,23.88,32.41,8.53,1098.4062,,,,,,,,0.141789106,0.790759799,38.66,1.000335246,0.282336024,-0.898200993,-0.061007615,,,,,,,,,,,,,,,
ส.ค.-10,470.6,27.1,1406.696461,23.88,32.41,8.53,1098.4062,196.2,27.5,703.6035118,23.85,33.34,9.49,1098.4062,,,,,,,,3.579224432,0.169986584,49.27,0.729684542,-0.389867941,-1.09683322,-0.061007615,,,,,,,,,,,,,,,
ก.ย.-10,196.2,27.5,703.6035118,23.85,33.34,9.49,1098.4062,169.6,26.9,172.6438236,23.54,32.37,8.83,1098.4062,,,,,,,,0.93043967,0.335526108,18.55,0.720561484,0.032530497,-0.77363502,-0.061007615,,,,,,,,,,,,,,,
ต.ค.-10,169.6,26.9,172.6438236,23.54,32.37,8.83,1098.4062,0,24.8,42.07432521,19.51,31.6,12.09,1098.4062,,,,,,,,0.673669719,0.087216822,6.83,0.626289891,-0.408035616,-0.995833783,-0.061007615,,,,,,,,,,,,,,,
พ.ย.-10,0,24.8,42.07432521,19.51,31.6,12.09,1098.4062,6.1,23.5,24.9927003,17.68,30.39,12.71,1098.4062,,,,,,,,-0.963480046,-0.781865679,1.52,-0.599240825,-0.757763355,0.10169344,-0.061007615,,,,,,,,,,,,,,,
ธ.ค.-10,6.1,23.5,24.9927003,17.68,30.39,12.71,1098.4062,2.6,22.7,17.6703744,16.33,29.82,13.49,3996.975398,,,,,,,,-0.904596711,-1.319869133,1.4,-1.155747329,-1.307335515,0.310425611,-0.061007615,,,,,,,,,,,,,,,
ม.ค.-11,2.6,22.7,17.6703744,16.33,29.82,13.49,3996.975398,0.8,24.5,4.264252044,16.58,33.15,16.57,3996.975398,,,,,,,,-0.938382231,-1.650948181,0.61,-1.566284914,-1.56622488,0.573024149,2.158507524,,,,,,,,,,,,,,,
ก.พ.-11,0.8,24.5,4.264252044,16.58,33.15,16.57,3996.975398,60.4,25.4,6.700902185,19.4,31.56,12.16,3996.975398,,,,,,,,-0.955757641,-0.906020323,0.3,-1.490259435,-0.053765958,1.609951708,2.158507524,,,,,,,,,,,,,,,
มี.ค.-11,60.4,25.4,6.700902185,19.4,31.56,12.16,3996.975398,92.6,27.3,7.308877423,22.13,34.68,12.55,3996.975398,,,,,,,,-0.380438502,-0.533556393,0.49,-0.632692036,-0.775931029,0.125259975,2.158507524,,,,,,,,,,,,,,,
เม.ย.-11,92.6,27.3,7.308877423,22.13,34.68,12.55,3996.975398,292.7,27.3,53.05570361,23.88,33.5,9.62,3996.975398,,,,,,,,-0.069611719,0.252756346,0.18,0.197506191,0.6411476,0.256559244,2.158507524,,,,,,,,,,,,,,,
พ.ค.-11,292.7,27.3,53.05570361,23.88,33.5,9.62,3996.975398,216.8,27.8,86.52068636,24.71,32.55,7.84,3996.975398,,,,,,,,1.86195472,0.252756346,2.56,0.729684542,0.105201195,-0.729868597,2.158507524,,,,,,,,,,,,,,,
มิ.ย.-11,216.8,27.8,86.52068636,24.71,32.55,7.84,3996.975398,191.2,27.7,56.6139386,24.43,33.15,8.72,3996.975398,,,,,,,,1.129291588,0.459680751,3.72,0.982089131,-0.32628108,-1.329131927,2.158507524,,,,,,,,,,,,,,,
ก.ค.-11,191.2,27.7,56.6139386,24.43,33.15,8.72,3996.975398,260.5,26.9,58.40528032,23.71,31.57,7.87,3996.975398,,,,,,,,0.882174642,0.41829587,1.95,0.896940595,-0.053765958,-1.03286691,2.158507524,,,,,,,,,,,,,,,
ส.ค.-11,260.5,26.9,58.40528032,23.71,31.57,7.87,3996.975398,254.9,27.2,29.80591483,23.88,32.06,8.18,3996.975398,,,,,,,,1.551127936,0.087216822,2.31,0.677987216,-0.771389111,-1.319031983,2.158507524,,,,,,,,,,,,,,,
ก.ย.-11,254.9,27.2,29.80591483,23.88,32.06,8.18,3996.975398,69.7,26.5,13.37483585,22.68,32.18,9.5,3996.975398,,,,,,,,1.497071104,0.211371465,0.85,0.729684542,-0.548835095,-1.214665898,2.158507524,,,,,,,,,,,,,,,
ต.ค.-11,69.7,26.5,13.37483585,22.68,32.18,9.5,3996.975398,6.7,25,24.30987309,18.77,31.68,12.91,3996.975398,,,,,,,,-0.290665549,-0.078322702,0.61,0.364762244,-0.494332071,-0.770268372,2.158507524,,,,,,,,,,,,,,,
พ.ย.-11,6.7,25,24.30987309,18.77,31.68,12.91,3996.975398,0.6,23.1,7.897243498,16.76,29.86,13.1,3996.975398,,,,,,,,-0.898804908,-0.699095917,0.85,-0.824276242,-0.721428005,0.377758569,2.158507524,,,,,,,,,,,,,,,
ธ.ค.-11,0.6,23.1,7.897243498,16.76,29.86,13.1,3996.975398,11,23.1,11.54523911,16.62,30.96,14.34,365.9278822,,,,,,,,-0.957688243,-1.485408657,0.18,-1.435521091,-1.548057206,0.44172488,2.158507524,,,,,,,,,,,,,,,
ม.ค.-12,11,23.1,11.54523911,16.62,30.96,14.34,365.9278822,0,25.2,14.58369919,16.79,33.98,17.18,365.9278822,,,,,,,,-0.857296983,-1.485408657,0.43,-1.478095359,-1.04844615,0.859189222,-0.810529743,,,,,,,,,,,,,,,
ก.พ.-12,0,25.2,14.58369919,16.79,33.98,17.18,365.9278822,8.3,27.5,3.037561883,20.5,35.53,15.03,365.9278822,,,,,,,,-0.963480046,-0.616326155,0.43,-1.426398033,0.323213292,1.815317232,-0.810529743,,,,,,,,,,,,,,,
มี.ค.-12,8.3,27.5,3.037561883,20.5,35.53,15.03,365.9278822,75.9,29.4,12.14562852,23.53,37.13,13.6,365.9278822,,,,,,,,-0.883360099,0.335526108,0.06,-0.29817993,1.027210688,1.091487929,-0.810529743,,,,,,,,,,,,,,,
เม.ย.-12,75.9,29.4,12.14562852,23.53,37.13,13.6,365.9278822,216.4,28.6,39.44821057,24.49,34.96,10.47,365.9278822,,,,,,,,-0.230816914,1.121838847,0.36,0.623248871,1.753917678,0.610057276,-0.810529743,,,,,,,,,,,,,,,
พ.ค.-12,216.4,28.6,39.44821057,24.49,34.96,10.47,365.9278822,55.9,28.2,103.0569729,24.84,33.28,8.43,365.9278822,,,,,,,,1.125430385,0.790759799,1.03,0.915186709,0.768321323,-0.443703524,-0.810529743,,,,,,,,,,,,,,,
มิ.ย.-12,55.9,28.2,103.0569729,24.84,33.28,8.43,365.9278822,106,27.6,153.2348915,24.26,32.76,8.5,365.9278822,,,,,,,,-0.423877028,0.625220275,3.88,1.02162238,0.005278984,-1.1304997,-0.810529743,,,,,,,,,,,,,,,
ก.ค.-12,106,27.6,153.2348915,24.26,32.76,8.5,365.9278822,185.4,27.7,203.3913079,24.47,32.53,8.06,365.9278822,,,,,,,,0.059738557,0.376910989,5.03,0.845243269,-0.230900787,-1.106933164,-0.810529743,,,,,,,,,,,,,,,
ส.ค.-12,185.4,27.7,203.3913079,24.47,32.53,8.06,365.9278822,179.6,27.7,201.4348452,24.07,32.81,8.74,365.9278822,,,,,,,,0.826187209,0.41829587,6.54,0.909104671,-0.335364917,-1.255065673,-0.810529743,,,,,,,,,,,,,,,
ก.ย.-12,179.6,27.7,201.4348452,24.07,32.81,8.74,365.9278822,80.1,27.4,225.4940011,23,33.47,10.47,365.9278822,,,,,,,,0.770199776,0.41829587,6.17,0.787463905,-0.208191194,-1.026133614,-0.810529743,,,,,,,,,,,,,,,
ต.ค.-12,80.1,27.4,225.4940011,23,33.47,10.47,365.9278822,38.8,27,130.5208507,22.57,33.16,10.59,365.9278822,,,,,,,,-0.19027429,0.294141227,5.74,0.462074857,0.091575439,-0.443703524,-0.810529743,,,,,,,,,,,,,,,
พ.ย.-12,38.8,27,130.5208507,22.57,33.16,10.59,365.9278822,1,24.3,73.6874276,17.99,31.89,13.9,365.9278822,,,,,,,,-0.588943425,0.128601703,3.63,0.331311033,-0.04922404,-0.403303749,-0.810529743,,,,,,,,,,,,,,,
ธ.ค.-12,1,24.3,73.6874276,17.99,31.89,13.9,365.9278822,25,23.2,83.29515639,16.82,30.97,14.16,1171.580636,,,,,,,,-0.95382704,-0.988790085,1.09,-1.061475736,-0.626047713,0.711056713,-0.810529743,,,,,,,,,,,,,,,
ม.ค.-13,25,23.2,83.29515639,16.82,30.97,14.16,1171.580636,31.6,26.9,54.3107662,20.82,34.26,13.44,1171.580636,,,,,,,,-0.722154904,-1.444023776,1.69,-1.417274976,-1.043904232,0.798589559,-0.334089321,,,,,,,,,,,,,,,
ก.พ.-13,31.6,26.9,54.3107662,20.82,34.26,13.44,1171.580636,17.1,27.6,105.5745154,19.93,35.34,15.4,1171.580636,,,,,,,,-0.658445066,0.087216822,1.27,-0.200867317,0.450387016,0.556190909,-0.334089321,,,,,,,,,,,,,,,
มี.ค.-13,17.1,27.6,105.5745154,19.93,35.34,15.4,1171.580636,1.2,31.2,345.5810556,24.59,38,13.41,1171.580636,,,,,,,,-0.798413649,0.376910989,1.81,-0.471518021,0.940914233,1.216053902,-0.334089321,,,,,,,,,,,,,,,
เม.ย.-13,1.2,31.2,345.5810556,24.59,38,13.41,1171.580636,89.9,29.8,779.1296886,24.74,36.65,11.91,1171.580636,,,,,,,,-0.951896439,1.866766705,6.82,0.945596901,2.149064604,0.546090965,-0.334089321,,,,,,,,,,,,,,,
พ.ค.-13,89.9,29.8,779.1296886,24.74,36.65,11.91,1171.580636,39.7,28.9,1877.919578,25.69,34.23,8.55,1171.580636,,,,,,,,-0.095674834,1.287378371,18.26,0.991212188,1.535905581,0.041093777,-0.334089321,,,,,,,,,,,,,,,
มิ.ย.-13,39.7,28.9,1877.919578,25.69,34.23,8.55,1171.580636,272.9,27.9,1892.643896,24.4,32.78,8.38,1171.580636,,,,,,,,-0.58025572,0.914914442,30.03,1.280109007,0.436761259,-1.090099925,-0.334089321,,,,,,,,,,,,,,,
ก.ค.-13,272.9,27.9,1892.643896,24.4,32.78,8.38,1171.580636,299.4,27.3,1016.765507,24.22,31.57,7.35,1171.580636,,,,,,,,1.670825207,0.501065632,38.68,0.887817537,-0.22181695,-1.147332939,-0.334089321,,,,,,,,,,,,,,,
ส.ค.-13,299.4,27.3,1016.765507,24.22,31.57,7.35,1171.580636,275.6,27.5,491.5029475,23.65,32.17,8.51,1171.580636,,,,,,,,1.926629858,0.252756346,30.12,0.833079192,-0.771389111,-1.494097675,-0.334089321,,,,,,,,,,,,,,,
ก.ย.-13,275.6,27.5,491.5029475,23.65,32.17,8.51,1171.580636,123.4,26.2,144.1238889,22.17,30.94,8.77,1171.580636,,,,,,,,1.696888322,0.335526108,17.12,0.659741101,-0.49887399,-1.103566516,-0.334089321,,,,,,,,,,,,,,,
ต.ค.-13,123.4,26.2,144.1238889,22.17,30.94,8.77,1171.580636,85.4,26.4,63.61804208,21.91,32.5,10.59,1171.580636,,,,,,,,0.227700856,-0.202477345,5.22,0.209670267,-1.057529988,-1.01603367,-0.334089321,,,,,,,,,,,,,,,
พ.ย.-13,85.4,26.4,63.61804208,21.91,32.5,10.59,1171.580636,26.8,21.1,25.19665388,15.55,27.16,11.61,1171.580636,,,,,,,,-0.13911336,-0.119707583,1.86,0.13060377,-0.348990673,-0.403303749,-0.334089321,,,,,,,,,,,,,,,
ธ.ค.-13,26.8,21.1,25.19665388,15.55,27.16,11.61,1171.580636,0,21.3,7.194878685,14.33,29.07,14.74,6879.661696,,,,,,,,-0.704779494,-2.313106277,0.9,-1.803484408,-2.774375251,-0.059905661,-0.334089321,,,,,,,,,,,,,,,
ม.ค.-14,0,21.3,7.194878685,14.33,29.07,14.74,6879.661696,0,24.3,5.394470668,16.53,33.15,16.61,6879.661696,,,,,,,,-0.963480046,-2.230336515,0.24,-2.174488743,-1.906868782,0.993855139,2.559414709,,,,,,,,,,,,,,,
ก.พ.-14,0,24.3,5.394470668,16.53,33.15,16.61,6879.661696,5.9,27.7,1.198674266,19.5,36.56,17.06,6879.661696,,,,,,,,-0.963480046,-0.988790085,0.18,-1.505464531,-0.053765958,1.6234183,2.559414709,,,,,,,,,,,,,,,
มี.ค.-14,5.9,27.7,1.198674266,19.5,36.56,17.06,6879.661696,34.9,29.6,2.995944091,23.77,37.24,13.46,6879.661696,,,,,,,,-0.906527312,0.41829587,0,-0.602281845,1.495028313,1.774917457,2.559414709,,,,,,,,,,,,,,,
เม.ย.-14,34.9,29.6,2.995944091,23.77,37.24,13.46,6879.661696,236.1,29.1,11.38003941,24.51,35.93,11.42,6879.661696,,,,,,,,-0.626590147,1.204608609,0,0.696233331,1.803878784,0.562924205,2.559414709,,,,,,,,,,,,,,,
พ.ค.-14,236.1,29.1,11.38003941,24.51,35.93,11.42,6879.661696,58.2,28.8,53.28387313,25.06,33.78,8.72,6879.661696,,,,,,,,1.315594597,0.997684204,0.3,0.921268748,1.208887436,-0.123871971,2.559414709,,,,,,,,,,,,,,,
มิ.ย.-14,58.2,28.8,53.28387313,25.06,33.78,8.72,6879.661696,175.2,28,89.75516586,24.78,32.41,7.63,6879.661696,,,,,,,,-0.401675115,0.873529561,1.62,1.088524801,0.232374919,-1.03286691,2.559414709,,,,,,,,,,,,,,,
ก.ค.-14,175.2,28,89.75516586,24.78,32.41,7.63,6879.661696,231.3,27.5,109.9612984,24.29,32.71,8.42,6879.661696,,,,,,,,0.727726551,0.542450513,1.74,1.003376265,-0.389867941,-1.399831533,2.559414709,,,,,,,,,,,,,,,
ส.ค.-14,231.3,27.5,109.9612984,24.29,32.71,8.42,6879.661696,177.5,27.6,100.2818038,24.09,32.87,8.78,6879.661696,,,,,,,,1.26926017,0.335526108,1.85,0.854366327,-0.253610381,-1.133866348,2.559414709,,,,,,,,,,,,,,,
ก.ย.-14,177.5,27.6,100.2818038,24.09,32.87,8.78,6879.661696,129.3,27.3,49.50840539,22.81,32.52,9.7,6879.661696,,,,,,,,0.749928464,0.376910989,2.45,0.793545944,-0.180939682,-1.012667022,2.559414709,,,,,,,,,,,,,,,
ต.ค.-14,129.3,27.3,49.50840539,22.81,32.52,9.7,6879.661696,16,25.8,23.84615889,20.81,31.81,11.01,6879.661696,,,,,,,,0.28465359,0.252756346,0.95,0.404295493,-0.339906836,-0.702935414,2.559414709,,,,,,,,,,,,,,,
พ.ย.-14,16,25.8,23.84615889,20.81,31.81,11.01,6879.661696,0,23.5,14.89616775,17.24,29.42,12.18,6879.661696,,,,,,,,-0.809031955,-0.368016869,0.48,-0.203908336,-0.662383062,-0.261904536,2.559414709,,,,,,,,,,,,,,,
ธ.ค.-14,0,23.5,14.89616775,17.24,29.42,12.18,6879.661696,78.9,22.3,10.12508651,16.28,28.86,12.58,469.6968804,,,,,,,,-0.963480046,-1.319869133,0.18,-1.289552172,-1.747901628,0.131993271,2.559414709,,,,,,,,,,,,,,,
ม.ค.-15,78.9,22.3,10.12508651,16.28,28.86,12.58,469.6968804,0,24.4,7.738818449,16.52,32.7,16.18,469.6968804,,,,,,,,-0.201857897,-1.816487705,0.12,-1.58149001,-2.002249074,0.266659188,-0.9238296,,,,,,,,,,,,,,,
ก.พ.-15,0,24.4,7.738818449,16.52,32.7,16.18,469.6968804,27.5,27.9,4.165451743,20.07,36.01,15.94,469.6968804,,,,,,,,-0.963480046,-0.947405204,0.12,-1.50850555,-0.258152299,1.47865244,-0.9238296,,,,,,,,,,,,,,,
มี.ค.-15,27.5,27.9,4.165451743,20.07,36.01,15.94,469.6968804,53.8,29.7,14.87156913,22.89,36.43,13.54,469.6968804,,,,,,,,-0.69802239,0.501065632,0,-0.428943753,1.245222785,1.397852889,-0.9238296,,,,,,,,,,,,,,,
เม.ย.-15,53.8,29.7,14.87156913,22.89,36.43,13.54,469.6968804,76.5,30.4,102.8885515,25.1,36.42,11.31,469.6968804,,,,,,,,-0.44414834,1.24599349,0.3,0.428623646,1.43598337,0.589857388,-0.9238296,,,,,,,,,,,,,,,
พ.ค.-15,76.5,30.4,102.8885515,25.1,36.42,11.31,469.6968804,15.2,29.9,237.7889433,25.28,35.15,9.87,469.6968804,,,,,,,,-0.225025111,1.535687657,1.96,1.100688877,1.431441451,-0.160905098,-0.9238296,,,,,,,,,,,,,,,
มิ.ย.-15,15.2,29.9,237.7889433,25.28,35.15,9.87,469.6968804,120.2,28.2,364.2262124,24.64,32.5,7.86,469.6968804,,,,,,,,-0.81675436,1.328763252,3.51,1.155427222,0.854617778,-0.645702399,-0.9238296,,,,,,,,,,,,,,,
ก.ค.-15,120.2,28.2,364.2262124,24.64,32.5,7.86,469.6968804,143,28.2,490.2533945,24.38,32.77,8.39,469.6968804,,,,,,,,0.196811238,0.625220275,4.93,0.960801997,-0.348990673,-1.322398631,-0.9238296,,,,,,,,,,,,,,,
ส.ค.-15,143,28.2,490.2533945,24.38,32.77,8.39,469.6968804,139.4,28.2,632.597694,24.48,33.26,8.78,469.6968804,,,,,,,,0.416899768,0.625220275,6.59,0.881735499,-0.226358868,-1.143966291,-0.9238296,,,,,,,,,,,,,,,
ก.ย.-15,139.4,28.2,632.597694,24.48,33.26,8.78,469.6968804,93.2,27.3,514.9682562,22.62,32.35,9.73,469.6968804,,,,,,,,0.382148947,0.625220275,8.24,0.91214569,-0.003804853,-1.012667022,-0.9238296,,,,,,,,,,,,,,,
ต.ค.-15,93.2,27.3,514.9682562,22.62,32.35,9.73,469.6968804,79.2,26.8,527.4496737,21.53,33.38,11.86,469.6968804,,,,,,,,-0.063819916,0.252756346,4.75,0.346516129,-0.417119453,-0.69283547,-0.9238296,,,,,,,,,,,,,,,
พ.ย.-15,79.2,26.8,527.4496737,21.53,33.38,11.86,469.6968804,4.9,24.5,210.0400291,18.06,31.57,13.51,469.6968804,,,,,,,,-0.198961995,0.045831941,6.6,0.015045042,0.050698171,0.024260537,-0.9238296,,,,,,,,,,,,,,,
ธ.ค.-15,4.9,24.5,210.0400291,18.06,31.57,13.51,469.6968804,34.2,21.6,46.27171445,13.96,29.8,15.84,3117.11368,,,,,,,,-0.916180318,-0.906020323,2.72,-1.040188602,-0.771389111,0.579757444,-0.9238296,,,,,,,,,,,,,,,
ม.ค.-16,34.2,21.6,46.27171445,13.96,29.8,15.84,3117.11368,45.3,24.2,16.19026803,17.07,32.27,15.2,3117.11368,,,,,,,,-0.633347251,-2.106181872,0.4,-2.287006452,-1.575308718,1.36418641,-0.200453592,,,,,,,,,,,,,,,
ก.พ.-16,45.3,24.2,16.19026803,17.07,32.27,15.2,3117.11368,0,29.4,24.27460824,21.49,36.5,15.01,3117.11368,,,,,,,,-0.526198888,-1.030174966,0.23,-1.341249497,-0.453454803,1.148720943,-0.200453592,,,,,,,,,,,,,,,
มี.ค.-16,0,29.4,24.27460824,21.49,36.5,15.01,3117.11368,17.7,32.4,35.25147594,25.32,39.04,13.72,3117.11368,,,,,,,,-0.963480046,1.121838847,0.06,0.002880966,1.467776801,1.084754633,-0.200453592,,,,,,,,,,,,,,,
เม.ย.-16,17.7,32.4,35.25147594,25.32,39.04,13.72,3117.11368,85.7,31.1,62.9795692,25.36,37.37,12,3117.11368,,,,,,,,-0.792621845,2.363385277,0.23,1.167591299,2.621424147,0.650457051,-0.200453592,,,,,,,,,,,,,,,
พ.ค.-16,85.7,31.1,62.9795692,25.36,37.37,12,3117.11368,236.1,28.1,160.0498292,24.33,33.09,8.76,3117.11368,,,,,,,,-0.136217458,1.825381824,0.69,1.179755375,1.862923726,0.071393608,-0.200453592,,,,,,,,,,,,,,,
มิ.ย.-16,236.1,28.1,160.0498292,24.33,33.09,8.76,3117.11368,162.1,27.6,620.4473807,24.51,32.23,7.71,3117.11368,,,,,,,,1.315594597,0.583835394,0.92,0.866530403,-0.081017471,-1.019400318,-0.200453592,,,,,,,,,,,,,,,
ก.ค.-16,162.1,27.6,620.4473807,24.51,32.23,7.71,3117.11368,132.1,27.7,937.2590482,24.43,31.99,7.56,3117.11368,,,,,,,,0.601272176,0.376910989,9.76,0.921268748,-0.471622477,-1.37289835,-0.200453592,,,,,,,,,,,,,,,
ส.ค.-16,132.1,27.7,937.2590482,24.43,31.99,7.56,3117.11368,213.1,27.6,500.7398605,24.38,31.78,7.4,3117.11368,,,,,,,,0.311682006,0.41829587,16.28,0.896940595,-0.580628526,-1.423398069,-0.200453592,,,,,,,,,,,,,,,
ก.ย.-16,213.1,27.6,500.7398605,24.38,31.78,7.4,3117.11368,141.7,27.6,174.7062283,23.41,32.68,9.27,3117.11368,,,,,,,,1.093575467,0.376910989,9.4,0.881735499,-0.676008818,-1.477264436,-0.200453592,,,,,,,,,,,,,,,
ต.ค.-16,141.7,27.6,174.7062283,23.41,32.68,9.27,3117.11368,105.3,26.3,123.9178799,21.6,32.32,10.72,3117.11368,,,,,,,,0.40435086,0.376910989,4.9,0.586756642,-0.267236137,-0.847701274,-0.200453592,,,,,,,,,,,,,,,
พ.ย.-16,105.3,26.3,123.9178799,21.6,32.32,10.72,3117.11368,6,24,42.05645705,18.75,30.37,11.62,3117.11368,,,,,,,,0.052981453,-0.161092464,1.84,0.036332176,-0.430745209,-0.359537326,-0.200453592,,,,,,,,,,,,,,,
ธ.ค.-16,6,24,42.05645705,18.75,30.37,11.62,3117.11368,27.5,23.7,26.48754941,18.56,29.47,10.91,2744.14432,,,,,,,,-0.905562012,-1.112944728,0.63,-0.830358281,-1.316419353,-0.056539013,-0.200453592,,,,,,,,,,,,,,,
ม.ค.-17,27.5,23.7,26.48754941,18.56,29.47,10.91,2744.14432,0,25,16.6939142,16.74,33.42,16.68,2744.14432,,,,,,,,-0.69802239,-1.237099371,0.75,-0.888137644,-1.725192034,-0.295571015,-0.066817864,,,,,,,,,,,,,,,
ก.พ.-17,0,25,16.6939142,16.74,33.42,16.68,2744.14432,0,29.1,20.71216477,20.81,36.8,16,2744.14432,,,,,,,,-0.963480046,-0.699095917,0.29,-1.441603129,0.068865846,1.646984836,-0.066817864,,,,,,,,,,,,,,,
มี.ค.-17,0,29.1,20.71216477,20.81,36.8,16,2744.14432,53.1,29.5,27.02998027,23.44,36.25,12.81,2744.14432,,,,,,,,-0.963480046,0.997684204,0.52,-0.203908336,1.604034361,1.418052777,-0.066817864,,,,,,,,,,,,,,,
เม.ย.-17,53.1,29.5,27.02998027,23.44,36.25,12.81,2744.14432,411.4,28.9,94.85277125,23.99,34.78,10.8,2744.14432,,,,,,,,-0.450905444,1.163223728,0.58,0.595879699,1.354228834,0.34409209,-0.066817864,,,,,,,,,,,,,,,
พ.ค.-17,411.4,28.9,94.85277125,23.99,34.78,10.8,2744.14432,234.5,28.2,214.334311,24.81,33.15,8.34,2744.14432,,,,,,,,3.007766495,0.914914442,2.87,0.763135752,0.686566787,-0.332604142,-0.066817864,,,,,,,,,,,,,,,
มิ.ย.-17,234.5,28.2,214.334311,24.81,33.15,8.34,2744.14432,126.8,27.6,339.4440928,24.49,32.35,7.86,2744.14432,,,,,,,,1.300149788,0.625220275,7.99,1.012499322,-0.053765958,-1.160799531,-0.066817864,,,,,,,,,,,,,,,
ก.ค.-17,126.8,27.6,339.4440928,24.49,32.35,7.86,2744.14432,210.3,27.8,214.5496809,24.32,32.55,8.24,2744.14432,,,,,,,,0.260521076,0.376910989,9.94,0.915186709,-0.417119453,-1.322398631,-0.066817864,,,,,,,,,,,,,,,
ส.ค.-17,210.3,27.8,214.5496809,24.32,32.55,8.24,2744.14432,124.1,27.9,110.0682653,24.3,33.72,9.43,2744.14432,,,,,,,,1.066547051,0.459680751,6.65,0.863489384,-0.32628108,-1.19446601,-0.066817864,,,,,,,,,,,,,,,
ก.ย.-17,124.1,27.9,110.0682653,24.3,33.72,9.43,2744.14432,192.8,27,92.82869667,23.6,32.54,8.93,2744.14432,,,,,,,,0.23445796,0.501065632,3.38,0.857407346,0.205123407,-0.793834907,-0.066817864,,,,,,,,,,,,,,,
ต.ค.-17,192.8,27,92.82869667,23.6,32.54,8.93,2744.14432,18.8,26.2,69.30201417,21.58,32.2,10.62,2744.14432,,,,,,,,0.897619451,0.128601703,2.58,0.644536005,-0.330822998,-0.962167304,-0.066817864,,,,,,,,,,,,,,,
พ.ย.-17,18.8,26.2,69.30201417,21.58,32.2,10.62,2744.14432,20.4,23.2,40.07235923,17.53,30.38,12.85,2744.14432,,,,,,,,-0.782003539,-0.202477345,2.63,0.030250138,-0.485248234,-0.393203805,-0.066817864,,,,,,,,,,,,,,,
ธ.ค.-17,20.4,23.2,40.07235923,17.53,30.38,12.85,2744.14432,0.3,23.4,13.73150895,17.62,30.17,12.55,1266.3758,,,,,,,,-0.76655873,-1.444023776,0.97,-1.201362617,-1.311877434,0.357558682,-0.066817864,,,,,,,,,,,,,,,
ม.ค.-18,0.3,23.4,13.73150895,17.62,30.17,12.55,1266.3758,0,25.3,9.14976914,17.93,33.35,15.41,1266.3758,,,,,,,,-0.960584144,-1.361254014,0.34,-1.173993444,-1.407257726,0.256559244,-0.21788434,,,,,,,,,,,,,,,
ก.พ.-18,0,25.3,9.14976914,17.93,33.35,15.41,1266.3758,10.6,27.9,8.001989066,20.62,35.46,14.84,1266.3758,,,,,,,,-0.963480046,-0.574941274,0.17,-1.079721851,0.037072415,1.21942055,-0.21788434,,,,,,,,,,,,,,,
มี.ค.-18,10.6,27.9,8.001989066,20.62,35.46,14.84,1266.3758,36.3,28.8,13.71097941,22.74,35.48,12.75,1266.3758,,,,,,,,-0.861158186,0.501065632,0.17,-0.2616877,0.995417258,1.027521618,-0.21788434,,,,,,,,,,,,,,,
เม.ย.-18,36.3,28.8,13.71097941,22.74,35.48,12.75,1266.3758,196.7,28.5,38.25797179,23.6,34.74,11.14,1266.3758,,,,,,,,-0.613075939,0.873529561,0.4,0.383008359,1.004501095,0.323892202,-0.21788434,,,,,,,,,,,,,,,
พ.ค.-18,196.7,28.5,38.25797179,23.6,34.74,11.14,1266.3758,144.8,28,105.5756498,24.58,33.05,8.47,1266.3758,,,,,,,,0.935266173,0.749374918,1.88,0.644536005,0.668399112,-0.218138113,-0.21788434,,,,,,,,,,,,,,,
มิ.ย.-18,144.8,28,105.5756498,24.58,33.05,8.47,1266.3758,159.4,27.5,188.1584477,24.42,31.97,7.55,1266.3758,,,,,,,,0.434275178,0.542450513,4.57,0.942555882,-0.099185145,-1.117033108,-0.21788434,,,,,,,,,,,,,,,
ก.ค.-18,159.4,27.5,188.1584477,24.42,31.97,7.55,1266.3758,120.3,27.5,180.389961,24.24,31.74,7.51,1266.3758,,,,,,,,0.575209061,0.335526108,5.07,0.893899575,-0.589712363,-1.426764717,-0.21788434,,,,,,,,,,,,,,,
ส.ค.-18,120.3,27.5,180.389961,24.24,31.74,7.51,1266.3758,64.2,28.1,147.230029,23.82,33.27,9.45,1266.3758,,,,,,,,0.197776539,0.335526108,3.47,0.839161231,-0.694176493,-1.440231308,-0.21788434,,,,,,,,,,,,,,,
ก.ย.-18,64.2,28.1,147.230029,23.82,33.27,9.45,1266.3758,214.6,27.5,89.11067546,23.3,33.43,10.13,1266.3758,,,,,,,,-0.343757081,0.583835394,4.49,0.711438427,0.000737066,-0.787101612,-0.21788434,,,,,,,,,,,,,,,
ต.ค.-18,214.6,27.5,89.11067546,23.3,33.43,10.13,1266.3758,8.5,25.9,54.45075355,20.28,32.47,12.2,1266.3758,,,,,,,,1.108054975,0.335526108,1.87,0.553305431,0.073407765,-0.558169553,-0.21788434,,,,,,,,,,,,,,,
