,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor,precipitation1,temperature1,dengue_incidence1,temp_min1,temp_max1,deltemp1,dengue_befor1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เม.ย.-05,57.2,29.2,12.8725847,22.97,36.68,13.7,463.4376868,104.7,28.6,100.2437022,24.43,36.04,11.61,463.4376868,,,,,,,,-0.411328121,1.039069085,0.74,0.452951799,1.549531337,0.643723755,-0.424148181,9.4,28.6,0.22,20.51,36.68,16.17,2.42,,-0.872741793,0.790759799,0.22,-0.295138911,1.549531337,1.475285792,-0.4619148
พ.ค.-05,104.7,28.6,100.2437022,24.43,36.04,11.61,463.4376868,193.5,27.6,102.3606311,24.86,32.95,8.09,463.4376868,,,,,,,,0.04718965,0.790759799,5.13,0.896940595,1.258848541,-0.059905661,-0.424148181,142.8,28.4,0.22,22.88,34.94,12.06,2.42,,0.414969167,0.707990037,0.22,0.425582627,0.759237486,0.091593496,-0.4619148
มิ.ย.-05,193.5,27.6,102.3606311,24.86,32.95,8.09,463.4376868,179.1,27.4,90.08548382,24.46,33.7,9.25,463.4376868,,,,,,,,0.904376555,0.376910989,5.97,1.027704418,-0.144604332,-1.244965729,-0.424148181,101.9,30.3,0.22,25.15,36.63,11.48,2.42,,0.020161234,1.494302776,0.22,1.115893973,1.526821744,-0.103672084,-0.4619148
ก.ค.-05,179.1,27.4,90.08548382,24.46,33.7,9.25,463.4376868,155.2,26.2,62.59647758,23.84,32.24,8.39,463.4376868,,,,,,,,0.765373273,0.294141227,4.5,0.906063652,0.196039569,-0.85443457,-0.424148181,131.5,28.7,0.45,24.31,33.49,9.18,2.42,,0.305890202,0.83214468,0.45,0.860448365,0.100659277,-0.878001106,-0.4619148
ส.ค.-05,155.2,26.2,62.59647758,23.84,32.24,8.39,463.4376868,436.3,26,47.99280715,22.47,32.52,10.04,463.4376868,,,,,,,,0.534666437,-0.202477345,3.04,0.717520465,-0.467080559,-1.143966291,-0.424148181,135,28.3,0.56,24.43,32.89,8.46,2.42,,0.339675722,0.666605156,0.56,0.896940595,-0.171855844,-1.120399756,-0.4619148
ก.ย.-05,436.3,26,47.99280715,22.47,32.52,10.04,463.4376868,192,26,34.01067206,22.96,33.29,10.33,463.4376868,,,,,,,,3.248126337,-0.285247107,1.64,0.300900842,-0.339906836,-0.588469384,-0.424148181,108,28.5,0.28,24.55,33.31,8.77,2.42,,0.079044569,0.749374918,0.28,0.933432824,0.01890474,-1.01603367,-0.4619148
ต.ค.-05,192,26,34.01067206,22.96,33.29,10.33,463.4376868,22.8,24.5,21.23451397,20.81,31.83,11.02,463.4376868,,,,,,,,0.889897047,-0.285247107,1.09,0.44991078,0.009820903,-0.490836595,-0.424148181,239.8,27.6,0.11,23.7,32.87,9.17,2.42,,1.351310719,0.376910989,0.11,0.674946197,-0.180939682,-0.881367753,-0.4619148
พ.ย.-05,22.8,24.5,21.23451397,20.81,31.83,11.02,463.4376868,27.9,21.8,5.454515703,16.86,27.84,10.98,463.4376868,,,,,,,,-0.743391516,-0.906020323,0.85,-0.203908336,-0.653299225,-0.258537888,-0.424148181,165,27.3,0.22,23.11,32.84,9.72,2.42,,0.629265893,0.252756346,0.22,0.495526067,-0.194565438,-0.696202118,-0.4619148
ธ.ค.-05,27.9,21.8,5.454515703,16.86,27.84,10.98,463.4376868,0,21.2,4.861921431,14.24,31.05,16.82,492.1788374,,,,,,,,-0.694161187,-2.02341211,0.12,-1.405110899,-2.46552478,-0.27200448,-0.424148181,44.4,26.7,0.11,21.61,32.41,10.8,2.42,,-0.534886593,0.00444706,0.11,0.039373195,-0.389867941,-0.332604142,-0.4619148
ม.ค.-06,0,21.2,4.861921431,14.24,31.05,16.82,492.1788374,0,24.7,2.427118192,18.02,33.49,15.47,492.1788374,,,,,,,,-0.963480046,-2.271721396,0.18,-2.201857916,-1.007568882,1.694117907,-0.595550528,0,22.9,0.06,16.47,30.2,13.73,2.42,,-0.963480046,-1.568178419,0.06,-1.523710646,-1.39363197,0.653823699,-0.4619148
ก.พ.-06,0,24.7,2.427118192,18.02,33.49,15.47,492.1788374,18,27.8,4.854498542,20.52,36.9,16.38,492.1788374,,,,,,,,-0.963480046,-0.823250561,0.06,-1.052352678,0.100659277,1.239620437,-0.595550528,26.7,23.2,0.17,16.36,30.91,14.55,0.21,,-0.705744794,-1.444023776,0.17,-1.557161857,-1.071155744,0.929888828,-1.103947321
มี.ค.-06,18,27.8,4.854498542,20.52,36.9,16.38,492.1788374,206.7,28.4,10.91881858,22.61,35.93,13.32,492.1788374,,,,,,,,-0.789725944,0.459680751,0.24,-0.292097892,1.649453548,1.545985398,-0.595550528,33.9,24.7,0.06,17.43,32.16,14.74,0.21,,-0.636243153,-0.823250561,0.06,-1.231772808,-0.503415908,0.993855139,-1.103947321
เม.ย.-06,206.7,28.4,10.91881858,22.61,35.93,13.32,492.1788374,219.5,26.5,57.57492012,22.59,33.93,11.34,492.1788374,,,,,,,,1.03179623,0.707990037,0.61,0.34347511,1.208887436,0.515791134,-0.595550528,47,29.4,0.11,23.08,36,12.93,0.21,,-0.509788779,1.121838847,0.11,0.48640301,1.240680867,0.384491865,-1.103947321
พ.ค.-06,219.5,26.5,57.57492012,22.59,33.93,11.34,492.1788374,180.4,27.6,182.085343,24.19,33.97,9.79,492.1788374,,,,,,,,1.155354703,-0.078322702,3.45,0.337393072,0.300503699,-0.150805154,-0.595550528,200.7,28.9,0.17,23.17,34.81,11.64,0.21,,0.973878196,0.914914442,0.17,0.513772182,0.700192543,-0.049805717,-1.103947321
มิ.ย.-06,180.4,27.6,182.085343,24.19,33.97,9.79,492.1788374,269.3,26.4,131.2183594,23.61,32.52,8.91,492.1788374,,,,,,,,0.77792218,0.376910989,8.95,0.823956135,0.318671374,-0.672635582,-0.595550528,392,28.3,0.78,23.92,34.04,10.12,0.21,,2.820498185,0.666605156,0.78,0.741848618,0.350464804,-0.561536201,-1.103947321
ก.ค.-06,269.3,26.4,131.2183594,23.61,32.52,8.91,492.1788374,341.4,26,82.78335777,23.49,31.79,8.31,492.1788374,,,,,,,,1.636074386,-0.119707583,5.93,0.647577025,-0.339906836,-0.968900599,-0.595550528,81.2,29,2.57,24.48,34.41,9.94,0.21,,-0.179655984,0.956299323,2.57,0.91214569,0.518515796,-0.622135863,-1.103947321
