,,,,,,,,,,,,,,,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor
85.7,31.1,0.693353055,25.3625,37.36666667,12.00416667,3.319684016,2.1,,,,,,,,-0.109245604,-0.289332687,6.93353055,1.180551396,1.853293118,0.076944524,-0.282821259
236.1,28.1,0.924475548,24.332,33.08947368,8.757473684,3.319684016,0.9,,,,,,,,1.431117407,-0.858608957,9.24475548,0.869815828,-0.058986168,-1.008420271,-0.282821259
162.1,27.6,9.763091931,24.51153846,32.225,7.713461538,3.319684016,1.4,,,,,,,,0.673226032,-0.621410512,97.63091931,0.923953611,-0.445481497,-1.35743203,-0.282821259
132.1,27.7,16.27506475,24.432,31.99130435,7.559304348,3.319684016,1.3,,,,,,,,0.365972772,-0.668850201,162.7506475,0.899969692,-0.549963889,-1.408966557,-0.282821259
213.1,27.6,9.403294614,24.38181818,31.78076923,7.398951049,3.319684016,1.4,,,,,,,,1.195556574,-0.621410512,94.03294614,0.884837934,-0.644091497,-1.462572434,-0.282821259
141.7,27.6,4.900999804,23.40869565,32.67692308,9.268227425,3.319684016,1.4,,,,,,,,0.464293815,-0.621410512,49.00999804,0.591403891,-0.243432362,-0.83767603,-0.282821259
105.3,26.3,1.844359143,21.6037037,32.324,10.7202963,3.319684016,2.7,,,,,,,,0.091493193,-0.004694553,18.44359143,0.047129075,-0.40121984,-0.352251494,-0.282821259
6,24,0.633727435,18.75,30.37083333,11.62083333,3.319684016,5,,,,,,,,-0.925515098,1.086418298,6.33727435,-0.813372855,-1.274456137,-0.05120326,-0.282821259
27.5,23.7,0.748561179,18.55769231,29.46818182,10.91048951,3.780290603,5.3,,,,,,,,-0.705316928,1.228737365,7.48561179,-0.871361054,-1.678020295,-0.288670177,-0.15459871
0,25,0.287826107,16.74,33.41851852,16.67851852,3.780290603,4,,,,,,,,-0.98696575,0.612021406,2.87826107,-1.419465519,0.088125649,1.639573625,-0.15459871
0,29.1,0.517804119,20.808,36.80454545,15.99654545,3.780290603,0.1,,,,,,,,-0.98696575,-1.23812647,5.17804119,-0.192806336,1.601975778,1.411591009,-0.15459871
53.1,29.5,0.575105963,23.444,36.25,12.806,3.780290603,0.5,,,,,,,,-0.443127479,-1.048367714,5.75105963,0.602049517,1.35404547,0.344996253,-0.15459871
411.4,28.9,2.874326402,23.98571429,34.78333333,10.79761905,3.780290603,0.1,,,,,,,,3.226500623,-1.23812647,28.74326402,0.765397307,0.698317215,-0.32640261,-0.15459871
234.5,28.2,7.987257164,24.81363636,33.15416667,8.340530303,3.780290603,0.8,,,,,,,,1.414730566,-0.906048646,79.87257164,1.015047801,-0.030062745,-1.147803844,-0.15459871
126.8,27.6,9.936349925,24.488,32.34615385,7.858153846,3.780290603,1.4,,,,,,,,0.311691363,-0.621410512,99.36349925,0.916855856,-0.391315132,-1.3090616,-0.15459871
210.3,27.8,6.654482081,24.31666667,32.552,8.235333333,3.780290603,1.2,,,,,,,,1.166879603,-0.71628989,66.54482081,0.865192237,-0.299283903,-1.18297104,-0.15459871
124.1,27.9,3.382306068,24.29545455,33.72173913,9.426284585,3.780290603,1.1,,,,,,,,0.284038569,-0.763729579,33.82306068,0.858795963,0.223691776,-0.784837749,-0.15459871
192.8,27,2.578574908,23.60357143,32.53703704,8.933465608,3.780290603,2,,,,,,,,0.987648535,-0.336772377,25.78574908,0.650166469,-0.305973654,-0.949586424,-0.15459871
18.8,26.2,2.634622026,21.58076923,32.19615385,10.61538462,3.780290603,2.8,,,,,,,,-0.794420373,0.042745137,26.34622026,0.040213446,-0.458378249,-0.387323318,-0.15459871
20.4,23.2,0.973185867,17.532,30.37916667,12.84716667,3.780290603,5.8,,,,,,,,-0.778033533,1.465935811,9.73185867,-1.180646917,-1.270730405,0.358758212,-0.15459871
0.3,23.4,0.343287724,17.61851852,30.16521739,12.54669887,3.262533484,5.6,,,,,,,,-0.983893217,1.371056433,3.43287724,-1.15455824,-1.366384442,0.258312258,-0.298730686
0,25.3,0.171558171,17.93333333,33.34782609,15.41449275,3.262533484,3.7,,,,,,,,-0.98696575,0.469702339,1.71558171,-1.059629411,0.056519951,1.217011628,-0.298730686
10.6,27.9,0.171471194,20.62413793,35.46071429,14.83657635,3.262533484,1.1,,,,,,,,-0.878402931,-0.763729579,1.71471194,-0.248247854,1.001165738,1.023815007,-0.298730686
36.3,28.8,0.399903566,22.73636364,35.48333333,12.7469697,3.262533484,0.2,,,,,,,,-0.615189305,-1.190686781,3.99903566,0.388669812,1.011278427,0.325262509,-0.298730686
196.7,28.5,1.884347864,23.604,34.744,11.14,3.262533484,0.5,,,,,,,,1.027591458,-1.048367714,18.84347864,0.650295699,0.680731777,-0.211945151,-0.298730686
144.8,28,4.565433505,24.576,33.05,8.474,3.262533484,1,,,,,,,,0.496043319,-0.811169268,45.65433505,0.943391256,-0.076634355,-1.103185116,-0.298730686
159.4,27.5,5.074576316,24.42173913,31.968,7.54626087,3.262533484,1.5,,,,,,,,0.645573239,-0.573970822,50.74576316,0.896875643,-0.560382971,-1.413326973,-0.298730686
120.3,27.5,3.471226379,24.23571429,31.74285714,7.507142857,3.262533484,1.5,,,,,,,,0.245119823,-0.573970822,34.71226379,0.840781966,-0.661041517,-1.426404069,-0.298730686
64.2,28.1,4.490800113,23.82272727,33.27407407,9.451346801,3.262533484,0.9,,,,,,,,-0.329443773,-0.858608957,44.90800113,0.716250422,0.023546348,-0.776459486,-0.298730686
214.6,27.5,1.873026936,23.3,33.42692308,10.12692308,3.262533484,1.5,,,,,,,,1.210919237,-0.573970822,18.73026936,0.558627953,0.091883222,-0.550615308,-0.298730686
8.5,25.9,1.077671164,20.275,32.47037037,12.19537037,3.262533484,3.1,,,,,,,,-0.899910659,0.185064204,10.77671164,-0.35352643,-0.335779486,0.140863646,-0.298730686
24.7,24.4,0.737069254,19.212,31.392,12.18,3.262533484,4.6,,,,,,,,-0.733993899,0.896659541,7.37069254,-0.674062003,-0.817905339,0.135725354,-0.298730686
38.8,23.7,0.113319263,17.796,31.412,13.616,2.021697682,5.3,,,,,,,,-0.589584867,1.228737365,1.13319263,-1.101040716,-0.80896359,0.615778088,-0.644151561
0,25.3,0.226544438,17.26,34.91428571,17.65428571,2.021697682,3.7,,,,,,,,-0.98696575,0.469702339,2.26544438,-1.262665427,0.75686438,1.965771193,-0.644151561
0,28.5,0.509457801,20.55925926,36.7,16.14074074,2.021697682,0.5,,,,,,,,-0.98696575,-1.048367714,5.09457801,-0.26781128,1.55523482,1.459795287,-0.644151561
22.3,31.2,1.131772242,23.49285714,39.236,15.74314286,2.021697682,2.2,,,,,,,,-0.75857416,-0.241892998,11.31772242,0.616781832,2.689048581,1.326878887,-0.644151561
77.3,31.1,1.470437698,25.70357143,37.22,11.51642857,2.021697682,2.1,,,,,,,,-0.195276516,-0.289332687,14.70437698,1.283397611,1.787720292,-0.086105621,-0.644151561
43.5,29.7,4.465686288,25.37857143,34.76923077,9.390659341,2.021697682,0.7,,,,,,,,-0.541448523,-0.953488336,44.65686288,1.185397553,0.692012138,-0.796747217,-0.644151561
97.3,29,10.84708993,25.06086957,33.72142857,8.660559006,2.021697682,0,,,,,,,,0.00955899,-1.28556616,108.4708993,1.089598166,0.223552929,-1.040818709,-0.644151561
238.3,27.4,10.88860617,24.475,32.348,7.873,2.021697682,1.6,,,,,,,,1.453649312,-0.526531133,108.8860617,0.912935854,-0.390489742,-1.304098552,-0.644151561
214.3,27.8,8.33985119,23.50714286,33.74545455,10.23831169,2.021697682,1.2,,,,,,,,1.207846704,-0.71628989,83.3985119,0.621089529,0.234294643,-0.513378256,-0.644151561
175.5,27.8,7.148220318,23.02142857,34.22222222,11.20079365,2.021697682,1.2,,,,,,,,0.810465821,-0.71628989,71.48220318,0.474627903,0.447451483,-0.191621921,-0.644151561
56,26.2,3.65568611,20.41538462,33.04090909,12.62552448,2.021697682,2.8,,,,,,,,-0.413426331,0.042745137,36.5568611,-0.311195043,-0.080698787,0.284663547,-0.644151561
9.1,22.3,1.629896575,15.10769231,30.588,15.48030769,2.021697682,6.7,,,,,,,,-0.893765594,1.892893013,16.29896575,-1.911669358,-1.177363645,1.239013468,-0.644151561
